pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,6nra_1,A,7wz3_1,a
PDB-CPX-143265,6nra_1,B,7wz3_1,b
PDB-CPX-143265,6nra_1,C,7wz3_1,g
PDB-CPX-143265,6nra_1,D,7wz3_1,d
PDB-CPX-143265,6nra_1,E,7wz3_1,e
PDB-CPX-143265,6nra_1,F,7wz3_1,z
PDB-CPX-143265,6nra_1,G,7wz3_1,h
PDB-CPX-143265,6nra_1,H,7wz3_1,q
PDB-CPX-143265,6nra_1,I,7wz3_1,A
PDB-CPX-143265,6nra_1,J,7wz3_1,B
PDB-CPX-143265,6nra_1,K,7wz3_1,G
PDB-CPX-143265,6nra_1,L,7wz3_1,D
PDB-CPX-143265,6nra_1,M,7wz3_1,E
PDB-CPX-143265,6nra_1,N,7wz3_1,Z
PDB-CPX-143265,6nra_1,O,7wz3_1,H
PDB-CPX-143265,6nra_1,P,7wz3_1,Q
