pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,6qb8_1,a,7lum_1,K
PDB-CPX-143265,6qb8_1,b,7lum_1,I
PDB-CPX-143265,6qb8_1,d,7lum_1,J
PDB-CPX-143265,6qb8_1,e,7lum_1,P
PDB-CPX-143265,6qb8_1,g,7lum_1,L
PDB-CPX-143265,6qb8_1,h,7lum_1,O
PDB-CPX-143265,6qb8_1,q,7lum_1,N
PDB-CPX-143265,6qb8_1,z,7lum_1,M
PDB-CPX-143265,6qb8_1,A,7lum_1,C
PDB-CPX-143265,6qb8_1,B,7lum_1,A
PDB-CPX-143265,6qb8_1,D,7lum_1,B
PDB-CPX-143265,6qb8_1,E,7lum_1,H
PDB-CPX-143265,6qb8_1,G,7lum_1,D
PDB-CPX-143265,6qb8_1,H,7lum_1,G
PDB-CPX-143265,6qb8_1,Q,7lum_1,F
PDB-CPX-143265,6qb8_1,Z,7lum_1,E
