pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7x3u_1,a,8sgq_1,A
PDB-CPX-143265,7x3u_1,A,8sgq_1,a
PDB-CPX-143265,7x3u_1,b,8sgq_1,B
PDB-CPX-143265,7x3u_1,B,8sgq_1,b
PDB-CPX-143265,7x3u_1,D,8sgq_1,d
PDB-CPX-143265,7x3u_1,d,8sgq_1,D
PDB-CPX-143265,7x3u_1,E,8sgq_1,e
PDB-CPX-143265,7x3u_1,e,8sgq_1,E
PDB-CPX-143265,7x3u_1,g,8sgq_1,G
PDB-CPX-143265,7x3u_1,G,8sgq_1,g
PDB-CPX-143265,7x3u_1,h,8sgq_1,H
PDB-CPX-143265,7x3u_1,H,8sgq_1,h
PDB-CPX-143265,7x3u_1,Q,8sgq_1,q
PDB-CPX-143265,7x3u_1,q,8sgq_1,Q
PDB-CPX-143265,7x3u_1,Z,8sgq_1,z
PDB-CPX-143265,7x3u_1,z,8sgq_1,Z
