pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,6qb8_1,a,7nvo_1,A
PDB-CPX-143265,6qb8_1,b,7nvo_1,B
PDB-CPX-143265,6qb8_1,d,7nvo_1,D
PDB-CPX-143265,6qb8_1,e,7nvo_1,E
PDB-CPX-143265,6qb8_1,g,7nvo_1,G
PDB-CPX-143265,6qb8_1,h,7nvo_1,H
PDB-CPX-143265,6qb8_1,q,7nvo_1,Q
PDB-CPX-143265,6qb8_1,z,7nvo_1,Z
PDB-CPX-143265,6qb8_1,A,7nvo_1,a
PDB-CPX-143265,6qb8_1,B,7nvo_1,b
PDB-CPX-143265,6qb8_1,D,7nvo_1,d
PDB-CPX-143265,6qb8_1,E,7nvo_1,e
PDB-CPX-143265,6qb8_1,G,7nvo_1,g
PDB-CPX-143265,6qb8_1,H,7nvo_1,h
PDB-CPX-143265,6qb8_1,Q,7nvo_1,q
PDB-CPX-143265,6qb8_1,Z,7nvo_1,z
