pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,6qb8_1,a,7x3j_1,a
PDB-CPX-143265,6qb8_1,b,7x3j_1,B
PDB-CPX-143265,6qb8_1,d,7x3j_1,D
PDB-CPX-143265,6qb8_1,e,7x3j_1,E
PDB-CPX-143265,6qb8_1,g,7x3j_1,G
PDB-CPX-143265,6qb8_1,h,7x3j_1,H
PDB-CPX-143265,6qb8_1,q,7x3j_1,Q
PDB-CPX-143265,6qb8_1,z,7x3j_1,Z
PDB-CPX-143265,6qb8_1,A,7x3j_1,A
PDB-CPX-143265,6qb8_1,B,7x3j_1,b
PDB-CPX-143265,6qb8_1,D,7x3j_1,d
PDB-CPX-143265,6qb8_1,E,7x3j_1,e
PDB-CPX-143265,6qb8_1,G,7x3j_1,g
PDB-CPX-143265,6qb8_1,H,7x3j_1,h
PDB-CPX-143265,6qb8_1,Q,7x3j_1,q
PDB-CPX-143265,6qb8_1,Z,7x3j_1,z
