pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7x0a_1,a,7x6q_1,e
PDB-CPX-143265,7x0a_1,A,7x6q_1,J
PDB-CPX-143265,7x0a_1,b,7x6q_1,P
PDB-CPX-143265,7x0a_1,B,7x6q_1,G
PDB-CPX-143265,7x0a_1,D,7x6q_1,K
PDB-CPX-143265,7x0a_1,d,7x6q_1,O
PDB-CPX-143265,7x0a_1,E,7x6q_1,A
PDB-CPX-143265,7x0a_1,e,7x6q_1,z
PDB-CPX-143265,7x0a_1,g,7x6q_1,L
PDB-CPX-143265,7x0a_1,G,7x6q_1,H
PDB-CPX-143265,7x0a_1,h,7x6q_1,N
PDB-CPX-143265,7x0a_1,H,7x6q_1,I
PDB-CPX-143265,7x0a_1,Q,7x6q_1,B
PDB-CPX-143265,7x0a_1,q,7x6q_1,a
PDB-CPX-143265,7x0a_1,Z,7x6q_1,E
PDB-CPX-143265,7x0a_1,z,7x6q_1,M
