pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7x0v_1,K,9e2s_1,I
PDB-CPX-143265,7x0v_1,J,9e2s_1,B
PDB-CPX-143265,7x0v_1,H,9e2s_1,C
PDB-CPX-143265,7x0v_1,G,9e2s_1,H
PDB-CPX-143265,7x0v_1,E,9e2s_1,D
PDB-CPX-143265,7x0v_1,I,9e2s_1,F
PDB-CPX-143265,7x0v_1,B,9e2s_1,E
PDB-CPX-143265,7x0v_1,A,9e2s_1,G
PDB-CPX-143265,7x0v_1,z,9e2s_1,i
PDB-CPX-143265,7x0v_1,P,9e2s_1,b
PDB-CPX-143265,7x0v_1,O,9e2s_1,c
PDB-CPX-143265,7x0v_1,N,9e2s_1,h
PDB-CPX-143265,7x0v_1,e,9e2s_1,d
PDB-CPX-143265,7x0v_1,a,9e2s_1,g
PDB-CPX-143265,7x0v_1,M,9e2s_1,f
PDB-CPX-143265,7x0v_1,L,9e2s_1,e
