pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7lum_1,L,7x6q_1,e
PDB-CPX-143265,7lum_1,D,7x6q_1,E
PDB-CPX-143265,7lum_1,M,7x6q_1,L
PDB-CPX-143265,7lum_1,E,7x6q_1,B
PDB-CPX-143265,7lum_1,N,7x6q_1,M
PDB-CPX-143265,7lum_1,F,7x6q_1,I
PDB-CPX-143265,7lum_1,H,7x6q_1,G
PDB-CPX-143265,7lum_1,P,7x6q_1,N
PDB-CPX-143265,7lum_1,K,7x6q_1,O
PDB-CPX-143265,7lum_1,C,7x6q_1,H
PDB-CPX-143265,7lum_1,J,7x6q_1,P
PDB-CPX-143265,7lum_1,B,7x6q_1,J
PDB-CPX-143265,7lum_1,I,7x6q_1,z
PDB-CPX-143265,7lum_1,A,7x6q_1,K
PDB-CPX-143265,7lum_1,O,7x6q_1,a
PDB-CPX-143265,7lum_1,G,7x6q_1,A
