pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7lum_1,L,8sgq_1,e
PDB-CPX-143265,7lum_1,D,8sgq_1,E
PDB-CPX-143265,7lum_1,M,8sgq_1,b
PDB-CPX-143265,7lum_1,E,8sgq_1,B
PDB-CPX-143265,7lum_1,N,8sgq_1,d
PDB-CPX-143265,7lum_1,F,8sgq_1,D
PDB-CPX-143265,7lum_1,H,8sgq_1,G
PDB-CPX-143265,7lum_1,P,8sgq_1,g
PDB-CPX-143265,7lum_1,K,8sgq_1,h
PDB-CPX-143265,7lum_1,C,8sgq_1,H
PDB-CPX-143265,7lum_1,J,8sgq_1,q
PDB-CPX-143265,7lum_1,B,8sgq_1,Q
PDB-CPX-143265,7lum_1,I,8sgq_1,z
PDB-CPX-143265,7lum_1,A,8sgq_1,Z
PDB-CPX-143265,7lum_1,O,8sgq_1,a
PDB-CPX-143265,7lum_1,G,8sgq_1,A
