pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7x3u_1,a,7x7y_1,A
PDB-CPX-143265,7x3u_1,A,7x7y_1,a
PDB-CPX-143265,7x3u_1,b,7x7y_1,B
PDB-CPX-143265,7x3u_1,B,7x7y_1,b
PDB-CPX-143265,7x3u_1,D,7x7y_1,d
PDB-CPX-143265,7x3u_1,d,7x7y_1,D
PDB-CPX-143265,7x3u_1,E,7x7y_1,e
PDB-CPX-143265,7x3u_1,e,7x7y_1,E
PDB-CPX-143265,7x3u_1,g,7x7y_1,G
PDB-CPX-143265,7x3u_1,G,7x7y_1,g
PDB-CPX-143265,7x3u_1,h,7x7y_1,H
PDB-CPX-143265,7x3u_1,H,7x7y_1,h
PDB-CPX-143265,7x3u_1,Q,7x7y_1,q
PDB-CPX-143265,7x3u_1,q,7x7y_1,Q
PDB-CPX-143265,7x3u_1,Z,7x7y_1,z
PDB-CPX-143265,7x3u_1,z,7x7y_1,Z
