pdb_complex_id,asm_id1,asym_id1,asm_id2,asym_id2
PDB-CPX-143265,7lum_1,L,7x3u_1,Z
PDB-CPX-143265,7lum_1,D,7x3u_1,a
PDB-CPX-143265,7lum_1,M,7x3u_1,Q
PDB-CPX-143265,7lum_1,E,7x3u_1,g
PDB-CPX-143265,7lum_1,N,7x3u_1,H
PDB-CPX-143265,7lum_1,F,7x3u_1,z
PDB-CPX-143265,7lum_1,H,7x3u_1,h
PDB-CPX-143265,7lum_1,P,7x3u_1,B
PDB-CPX-143265,7lum_1,K,7x3u_1,G
PDB-CPX-143265,7lum_1,C,7x3u_1,d
PDB-CPX-143265,7lum_1,J,7x3u_1,A
PDB-CPX-143265,7lum_1,B,7x3u_1,b
PDB-CPX-143265,7lum_1,I,7x3u_1,D
PDB-CPX-143265,7lum_1,A,7x3u_1,e
PDB-CPX-143265,7lum_1,O,7x3u_1,E
PDB-CPX-143265,7lum_1,G,7x3u_1,q
